1,0,4.34
0,4.34,6.86
1,6.86,12.98
0,12.98,16.64
1,16.64,16.82
0,16.82,16.94
1,16.94,17.06
0,17.06,17.12
1,17.12,17.24
0,17.24,17.3
1,17.3,18.02
0,18.02,18.08
1,18.08,18.14
0,18.14,23.18
1,23.18,23.48
0,23.48,23.96
1,23.96,31.1
0,31.1,34.16
1,34.16,34.22
0,34.22,34.28
1,34.28,36.5
0,36.5,36.62
1,36.62,36.68
0,36.68,37.04
1,37.04,37.22
0,37.22,37.4
1,37.4,37.58
0,37.58,46.04
1,46.04,50.36
0,50.36,52.22
1,52.22,63.8
0,63.8,65.48
1,65.48,73.82
0,73.82,95.36
1,95.36,95.42
0,95.42,95.54
1,95.54,95.66
0,95.66,101.18
1,101.18,105.92
0,105.92,105.98
1,105.98,106.04
0,106.04,113.84
1,113.84,116.48
0,116.48,122.0
1,122.0,123.74
0,123.74,125.36
1,125.36,128.96
0,128.96,185.36
1,185.36,193.22
0,193.22,195.5
1,195.5,200.3
0,200.3,201.98
1,201.98,206.54
0,206.54,206.66
1,206.66,209.18
0,209.18,220.58
1,220.58,220.64
0,220.64,220.7
1,220.7,223.94
0,223.94,227.48
1,227.48,234.02
0,234.02,238.76
1,238.76,238.82
0,238.82,238.88
1,238.88,239.06
0,239.06,250.76
1,250.76,255.68
0,255.68,260.3
1,260.3,265.88
0,265.88,266.72
1,266.72,270.62
0,270.62,273.14
1,273.14,351.32
