0,0,13.58
1,13.58,13.64
0,13.64,13.82
1,13.82,13.94
0,13.94,14.9
1,14.9,14.96
0,14.96,15.08
1,15.08,15.2
0,15.2,15.32
1,15.32,15.38
0,15.38,15.44
1,15.44,17.3
0,17.3,17.36
1,17.36,17.96
0,17.96,20.54
1,20.54,24.5
0,24.5,33.86
1,33.86,37.28
0,37.28,37.34
1,37.34,37.4
0,37.4,37.52
1,37.52,37.64
0,37.64,37.7
1,37.7,37.94
0,37.94,64.94
1,64.94,65.0
0,65.0,65.06
1,65.06,65.12
0,65.12,65.18
1,65.18,67.4
0,67.4,67.64
1,67.64,67.88
0,67.88,77.06
1,77.06,114.92
0,114.92,115.58
1,115.58,115.7
0,115.7,115.82
1,115.82,133.16
0,133.16,142.76
1,142.76,145.4
0,145.4,152.36
1,152.36,155.96
0,155.96,164.72
1,164.72,167.42
0,167.42,168.14
1,168.14,170.54
0,170.54,182.12
1,182.12,187.58
0,187.58,191.6
1,191.6,194.42
0,194.42,197.42
1,197.42,201.74
0,201.74,221.6
1,221.6,222.8
0,222.8,229.82
1,229.82,233.48
0,233.48,236.0
1,236.0,237.44
0,237.44,246.26
1,246.26,247.94
0,247.94,249.26
1,249.26,249.86
0,249.86,252.86
1,252.86,257.96
0,257.96,270.62
1,270.62,271.1
0,271.1,276.32
1,276.32,276.38
0,276.38,276.44
1,276.44,278.72
0,278.72,288.26
1,288.26,320.3
0,320.3,320.36
1,320.36,320.6
0,320.6,321.8
1,321.8,333.8
0,333.8,334.64
1,334.64,339.2
0,339.2,347.96
1,347.96,351.5
0,351.5,363.56
1,363.56,387.56
0,387.56,390.26
1,390.26,390.74
0,390.74,390.98
1,390.98,391.04
0,391.04,398.84
1,398.84,400.64
0,400.64,400.7
1,400.7,400.82
0,400.82,400.94
1,400.94,401.0
0,401.0,402.68
1,402.68,404.06
0,404.06,404.12
1,404.12,404.18
0,404.18,406.46
1,406.46,410.0
0,410.0,410.24
1,410.24,414.5
