1,0,19.04
0,19.04,19.16
1,19.16,19.22
0,19.22,34.4
1,34.4,38.18
0,38.18,38.36
1,38.36,38.42
0,38.42,38.6
1,38.6,38.78
0,38.78,39.32
1,39.32,39.62
0,39.62,39.68
1,39.68,39.86
0,39.86,39.92
1,39.92,40.04
0,40.04,40.1
1,40.1,40.22
0,40.22,40.64
1,40.64,40.7
0,40.7,49.4
1,49.4,50.42
0,50.42,50.54
1,50.54,50.6
0,50.6,59.3
1,59.3,73.82
0,73.82,80.54
1,80.54,82.58
0,82.58,82.64
1,82.64,83.36
0,83.36,84.2
1,84.2,84.26
0,84.26,85.46
1,85.46,85.58
0,85.58,85.7
1,85.7,89.84
0,89.84,90.26
1,90.26,93.86
0,93.86,93.92
1,93.92,93.98
0,93.98,94.22
1,94.22,109.34
0,109.34,110.66
1,110.66,110.78
0,110.78,110.96
1,110.96,111.08
0,111.08,111.2
1,111.2,113.78
0,113.78,114.56
1,114.56,115.46
0,115.46,120.26
1,120.26,127.46
0,127.46,128.12
1,128.12,128.18
0,128.18,128.48
1,128.48,128.54
0,128.54,128.78
1,128.78,131.06
0,131.06,131.24
1,131.24,135.68
0,135.68,162.38
1,162.38,163.16
0,163.16,167.9
1,167.9,174.44
0,174.44,174.62
1,174.62,182.84
0,182.84,184.94
1,184.94,185.0
0,185.0,185.06
1,185.06,186.98
0,186.98,188.42
1,188.42,189.02
0,189.02,189.08
1,189.08,189.14
0,189.14,189.32
1,189.32,189.56
0,189.56,190.34
1,190.34,193.34
0,193.34,195.98
1,195.98,198.14
0,198.14,198.2
1,198.2,198.26
0,198.26,236.18
1,236.18,237.68
0,237.68,239.9
1,239.9,240.02
0,240.02,240.08
1,240.08,277.1
0,277.1,277.16
1,277.16,277.46
0,277.46,277.94
1,277.94,283.22
0,283.22,283.34
1,283.34,289.58
0,289.58,289.88
1,289.88,289.94
0,289.94,290.0
1,290.0,290.18
0,290.18,290.66
1,290.66,291.98
0,291.98,296.48
1,296.48,296.54
0,296.54,296.6
1,296.6,296.72
0,296.72,297.26
1,297.26,309.98
0,309.98,310.1
1,310.1,316.64
0,316.64,316.76
1,316.76,316.94
0,316.94,317.0
1,317.0,318.86
0,318.86,319.04
1,319.04,319.22
0,319.22,319.34
1,319.34,322.64
